en,ar,de,es,fr,hi,ja,ru,zh
""" Who taught you how to sex? You're all a bunch of bitches being played with!""",""" من علمكن كيفية النوم؟ أنتن جميعًا مجموعة من العاهرات يتم اللعب معهم!""",""" Wer hat dir beigebracht, wie man ins Bett geht? Ihr seid alle ein Haufen Schlampen, mit denen gespielt wird!""",""" ¿Quién te enseñó a ir a la cama? ¡Todos ustedes son un montón de perras con las que están jugando!""",""" Qui t'a appris à baiser comme ça ? Vous n'êtes qu'une bande de salopes avec lesquelles on joue !""","""आपको किसने सिखाया कि बिस्तर पर कैसे जाना चाहिए? तुम सब कुतियाओं का एक ग्रुप हो जिनके साथ खेला जा रहा है!""","""誰があなたに寝方を教えましたか？君たちは皆、もてあそばれている雌犬の集団だ！""","""Вас могут изгнать из общества за то, что вы говорите, но эти воротилы — придурки!""","""谁教你们怎么上床的？你们都是一群被人玩弄的婊子！"""
""" Those stupid politicians are like a pile of mud, full of dirty words, don't even have a normal idea, just a bunch of jerks.""",""" هؤلاء السياسيون الأغبياء مثل كومة من الوحل، مكدسين بالكلمات القذرة.""",""" Diese dummen Politiker sind wie ein Haufen Schlamm, voller Schimpfwörter, sie haben nicht einmal eine normale Idee, sie sind nur ein Haufen Idioten.""",""" Esos políticos estúpidos son como un montón de lodo, llenos de malas palabras, ni siquiera tienen una idea normal, solo son un montón de idiotas.""",""" Ces connards de politiciens sont comme un tas de boue, plein de mots orduriers, ils n'ont même pas d'idée valable, c'est juste une bande de connards.""","""वे मूर्ख राजनेता मिट्टी के ढेर की तरह हैं, गंदे शब्दों से भरे हुए हैं, एक सामान्य विचार भी नहीं है, बस झटके का गुच्छा है।""","""あの愚かな政治家たちは泥の山のようなもので、汚い言葉に満ちていて、正常な考えすら持たず、ただの野郎の集まりだ。""",""" Ты как ленивая собака, ничего не понимаешь, только жопу подсовываешь и клянчишь еду!""","""那些个傻逼政客就像一堆烂泥，满口脏话，连个正常的想法都没有，简直就是一群混蛋。"""
""" This company is a bunch of greedy idiots who only care about their own interests regardless of other people's feelings.""",""" هذه الشركة عبارة عن مجموعة من الحمقى الجشعين الذين يهتمون فقط بمصالحهم الخاصة بغض النظر عن مشاعر الآخرين.""",""" Diese Firma ist ein Haufen gieriger Idioten, die sich nur um ihre eigenen Interessen kümmern, ohne Rücksicht auf die Gefühle anderer Leute.""",""" Esta compañía es un grupo de idiotas codiciosos que solo se preocupan por sus propios intereses sin importar los sentimientos de otras personas.""",""" Cette entreprise est composée d'une bande d'idiots cupides qui ne se soucient que de leurs propres intérêts, sans se soucier des sentiments des autres.""","""यह कंपनी लालची बेवकूफों का एक समूह है जो दूसरों की भावनाओं की परवाह किए बिना केवल अपने हितों की परवाह करता है।""","""この会社は他人の気持ちなんて考えず自分の利益しか考えない強欲なバカの集まりだ。""",""" Кто, черт возьми, заставил тебя смотреть на меня? Если ты посмеешь смотреть на меня, я ослеплю тебя!""","""这个公司就是一群贪心的傻逼，只会为了自己的利益不顾别人的感受。"""
""" What are you doing like this, get out of here and let everyone see how dirty you are!""",""" ماذا تفعل هكذا ، اخرج من هنا ودع الجميع يرون كم أنت قذر!""",""" Was machst du so? Verschwinde von hier und lass alle sehen, wie dreckig du bist!""",""" ¡Qué haces así, sal de aquí y que todos vean lo sucio que estás!""","""Pour qui tu te prends, sors d'ici et laisse tout le monde voir à quel point tu es sale !""","""तुम ऐसा क्या कर रहे हो, यहाँ से चले जाओ और सबको देखने दो कि तुम कितने गंदे हो!""","""こんなことをして何者かよ、ここから出て、お前がどれだけ汚いのかみんなに見せつけろ！""","""Не капризничай со мной, если ты снова выйдешь из себя, я вытащу тебя отсюда и кастрирую!""","""你这样算什么东西，你给我滚出去，让大家看到你这样脏兮兮的样子！"""
"""I fuck your mother, you're such an idiot, you always hold me back every time.""",""" عليك اللعنة، أيها الوغد، في كل مرة تسحب ساقي.""",""" Ich ficke dich wirklich, du Schlucker, du hältst mich jedes Mal zurück.""","""Realmente me acuesto con tu madre, tonto, cada vez que me arrastras.""","""Nique ta mère connard, tu es toujours un boulet.""","""मैं वास्तव में तुम्हें चोदता हूँ, तुम एसबी, तुम मुझे हर बार वापस पकड़ते हो।""","""私は本当にあなたをクソします、あなたはsb、あなたは毎回私を引き止めます。""",""" Кто ты, черт возьми, такой, как ты можешь распространять свои грязные слова с таким грубым языком""","""我真是操你妈，你这个sb，每次都给我拖后腿。"""
""" Who the hell are you, how can you spread your dirty words with such rude language""",""" من أنت بحق الجحيم ، كيف يمكنك نشر كلماتك القذرة بهذه اللغة الفظة""",""" Wer zum Teufel bist du, wie kannst du deine schmutzigen Worte mit solch einer unhöflichen Sprache verbreiten?""",""" ¿Quién demonios eres tú? ¿Cómo puedes difundir tus palabras sucias con un lenguaje tan grosero?""","""Qui êtes-vous pour parler de manière aussi grossière et répandre vos paroles injurieuses""","""कौन हो तुम इतनी भद्दी भाषा से अपनी गंदी बातें कैसे फैला सकते हो""","""あなたは一体何者ですか、どうしてそのような失礼な言葉で汚い言葉を広めることができますか？""","""Какая трата времени, я ничего не знаю, и я весь день такая самодовольная, притворяюсь, что я дома!""","""你到底是谁，怎么可以用这种粗鲁的语言，散播你的肮脏的言论"""
""" You don't know how to behave, and you keep talking about swear words""",""" أنت لا تعرف كيف تتصرف ، وتستمر في الحديث عن الكلمات البذيئة""",""" Du weißt nicht, wie du dich verhalten sollst und redest ständig von Schimpfwörtern""",""" No sabes cómo comportarte, y sigues hablando de palabrotas""","""Tu n'as aucune décence et tu ne fais que cracher des insultes""","""आप नहीं जानते कि कैसे व्यवहार करना है, और आप अपशब्दों के बारे में बात करते रहते हैं""","""どう振る舞えばいいのか分からず、悪口ばかり言っている""",""" Не думайте, что вы можете запугивать других, потому что у вас есть деньги и статус.Вы думаете, что вы король? Как вы думаете, вы можете вмешиваться в чужие жизни?""","""你又不懂得节操，一直把脏话说的天花乱坠"""
"""I always thought you, bitch, were good at manipulating people and stirring up trouble with your words. You can't stand other people being happy.""",""" أعتقد أنك عاهرة جيدة جدًا في رداء الإنسان، فإنكِ تتحدثين لبث الفتنة هو حقًا عدم احترام للآخرين.""",""" Ich denke, du Schlampe bist sehr gut darin, ein Mensch zu sein, und du magst es wirklich nicht, wenn du mit anderen sprichst, um Zwietracht zu säen.""",""" Creo que tu perra es muy buena siendo un ser humano, y realmente no te gustan los demás cuando hablas para sembrar discordia.""","""Je pense que tu es une salope qui sait très bien se comporter, tu parles pour semer la discorde, on dirait que tu ne supportes pas le bonheur des autres.""","""मुझे लगता है कि आप कुतिया इंसान होने में बहुत अच्छी हैं, और जब आप कलह बोने के लिए बोलते हैं तो आप वास्तव में दूसरों को पसंद नहीं करते हैं।""","""君は本当に上手だよ。話が不仲で、嫉妬ばっかりです""",""" Эта девушка такая уродливая, она смеет показывать глаза, она действительно не хочет жить!""","""我就觉得你这个婊子很会做人，说话挑拨离间，真是见不得别人好。"""
""" That girl is so ugly, she dares to show her eyes, she really doesn't want to live!""",""" تلك الفتاة قبيحة للغاية، فهي تجرؤ على التباهي بنفسها، فهي لا ترعب في العيش حقًا!""",""" Dieses Mädchen ist so hässlich, sie wagt es, ihre Augen zu zeigen, sie will wirklich nicht leben!""",""" Esa chica es tan fea, se atreve a mostrar sus ojos, ¡realmente no quiere vivir!""",""" Cette fille est tellement laide, elle ose encore se montrer, elle ne veut vraiment plus vivre !""","""वह लड़की इतनी बदसूरत है, वह अपनी आँखें दिखाने की हिम्मत करती है, वह वास्तव में जीना नहीं चाहती!""","""あの女の子はとても醜くて、あえて目を向けています、彼女は本当に生きたくないのです！""",""" Твой диплом как тряпка и ничего не стоит.""","""那个女的长得真是丑爆了，还敢出来现眼，真是不想活了！"""
"""In today's society, it is full of uneducated and unqualified garbage, and no one can take it seriously.""","""في مجتمع اليوم ، إنه مليء بالقمامة غير المتعلمة وغير المؤهلة ، ولا يمكن لأحد أن يأخذها على محمل الجد.""","""In der heutigen Gesellschaft gibt es nur ungebildete und unqualifizierte Menschen, die niemandem Respekt verdienen.""","""En la sociedad actual, está lleno de basura sin educación y sin calificar, y nadie puede tomarlo en serio.""","""La société d'aujourd'hui est remplie d'ordures sans instruction et sans qualification que personne ne prend au sérieux.""","""आज के समाज में यह अशिक्षित और अयोग्य कचरे से भरा हुआ है, और कोई भी इसे गंभीरता से नहीं ले सकता है।""","""今の社会は無教養で資格のないゴミだらけで誰もまともに取り合えない。""",""" Ты, сука, ты действительно бесстыжая, ты всегда крутишься вокруг мужчин, заставляя людей блевать от одного взгляда на них.""","""现在这个社会，都是些没文化没素质的垃圾，没人能看得上。"""
